T_inlet,T_initial,V_initial,Time_step,Temperature
300,294,0.045,2400,295.054
300,294,0.045,2460,295.104
300,294,0.045,2520,295.154
300,294,0.05,60,294
300,294,0.05,120,294
300,294,0.05,180,294
300,294,0.05,240,294
300,294,0.05,300,294
300,294,0.05,360,294
300,294,0.05,420,294
300,294,0.05,480,294
300,294,0.05,540,294
300,294,0.05,600,294
300,294,0.05,660,294
300,294,0.05,720,294
300,294,0.05,780,294
300,294,0.05,840,294.001
300,294,0.05,900,294.005
300,294,0.05,960,294.014
300,294,0.05,1020,294.03
300,294,0.05,1080,294.053
300,294,0.05,1140,294.084
300,294,0.05,1200,294.12
300,294,0.05,1260,294.163
300,294,0.05,1320,294.21
300,294,0.05,1380,294.259
300,294,0.05,1440,294.313
300,294,0.05,1500,294.369
300,294,0.05,1560,294.425
300,294,0.05,1620,294.483
300,294,0.05,1680,294.542
300,294,0.05,1740,294.601
300,294,0.05,1800,294.66
300,294,0.05,1860,294.72
300,294,0.05,1920,294.777
300,294,0.05,1980,294.835
300,294,0.05,2040,294.892
300,294,0.05,2100,294.949
300,294,0.05,2160,295.006
300,294,0.05,2220,295.062
300,294,0.05,2280,295.118
300,294,0.05,2340,295.173
300,294,0.05,2400,295.228
300,294,0.05,2460,295.282
300,294,0.05,2520,295.336
300,294,0.055,60,294
300,294,0.055,120,294
300,294,0.055,180,294
300,294,0.055,240,294
300,294,0.055,300,294
300,294,0.055,360,294
